,Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
4095,16621,781,CHEVROLET,Cruze LS,Sedan,No,Petrol,1.4,12532 ,4.0,Automatic,Front,Left wheel,Black,8,6
4097,27911,456,TOYOTA,Camry HYBRID,Sedan,No,Hybrid,2.5,193000 ,4.0,Variator,Front,Left wheel,Black,12,9
4098,7828,595,HONDA,FIT,Universal,Yes,Petrol,1.5,154691 ,4.0,Automatic,Front,Left wheel,Silver,4,9
4099,14740,878,TOYOTA,Prius,Sedan,No,Hybrid,1.8,200000 ,4.0,Variator,Front,Left wheel,Silver,0,15
4102,941,639,HYUNDAI,Elantra,Hatchback,Yes,Petrol,2.0,100037 ,4.0,Automatic,Front,Left wheel,Silver,12,10
4103,24775,0,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,119000 ,4.0,Variator,Front,Left wheel,White,0,13
4104,27284,640,FORD,Fusion,Sedan,Yes,Hybrid,2.0,130000 ,4.0,Automatic,Front,Left wheel,Black,6,11
4105,862,584,KIA,Avella,Sedan,Yes,Petrol,1.8,185334 ,4.0,Automatic,Front,Left wheel,Silver,11,10
4106,25032,831,HYUNDAI,Elantra,Coupe,Yes,Petrol,1.6,22607 ,4.0,Automatic,Front,Left wheel,White,4,7
4107,470,585,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,0 ,4.0,Automatic,Front,Left wheel,Black,0,11
4108,19757,650,CHEVROLET,Cruze LT,Sedan,No,Petrol,1.4,58000 ,4.0,Tiptronic,Front,Left wheel,Black,12,8
4109,4391,584,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,138838 ,4.0,Automatic,Front,Left wheel,Silver,12,10
4110,10349,0,HONDA,Stream,Minivan,No,CNG,1.8,150000 ,4.0,Automatic,Front,Right-hand drive,Silver,4,18
4111,33230,640,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,185000 ,4.0,Automatic,Front,Left wheel,Black,4,11
4112,15681,586,FORD,Transit Connect,Goods wagon,No,Diesel,1.8,23000 ,4.0,Manual,Front,Left wheel,White,4,12
4114,18660,781,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,62234 ,4.0,Automatic,Front,Left wheel,Silver,4,12
4115,20385,308,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,59000 ,4.0,Variator,Front,Left wheel,Black,9,10
4116,549,642,BMW,328,Sedan,Yes,Petrol,2.0,112210 ,4.0,Automatic,Rear,Left wheel,Blue,12,12
4117,29479,779,TOYOTA,RAV 4,Jeep,No,Petrol,2.5,83000 ,4.0,Tiptronic,4x4,Left wheel,Black,10,11
4120,19657,862,HYUNDAI,H1,Universal,Yes,Diesel,2.5,180000 ,4.0,Automatic,Front,Left wheel,Yellow,4,13
4121,10986,687,HYUNDAI,I30,Hatchback,Yes,Petrol,1.6,157730 ,4.0,Automatic,Front,Left wheel,Grey,4,14
4122,7213,0,HONDA,Odyssey,Minivan,Yes,Petrol,2.4,197000 ,4.0,Tiptronic,Front,Right-hand drive,Black,6,20
4123,157,765,MERCEDES-BENZ,C 300,Sedan,Yes,Petrol,2.0,73323 ,4.0,Automatic,4x4,Left wheel,White,12,9
4124,27911,0,CHEVROLET,Volt,Hatchback,No,Plug-in Hybrid,1.4,65000 ,4.0,Automatic,Front,Left wheel,White,12,9
4126,2979,645,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,200200 ,4.0,Automatic,Front,Left wheel,Silver,12,13
4127,3607,781,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,156518 ,4.0,Automatic,Front,Left wheel,White,12,12
4128,4391,1077,CADILLAC,CTS,Sedan,Yes,Petrol,2.0,21659 ,4.0,Automatic,4x4,Left wheel,Black,12,5
4130,12425,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,509454 ,4.0,Automatic,Front,Left wheel,Orange,4,9
4132,21012,1091,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,72678 ,4.0,Tiptronic,Front,Left wheel,Grey,6,8
4134,17876,0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.4,300000 ,4.0,Manual,Front,Left wheel,Beige,0,15
4135,282,753,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,93816 ,4.0,Automatic,Front,Left wheel,Black,0,12
4136,38260,1051,HYUNDAI,Santa FE,Jeep,No,Petrol,2.4,113771 ,4.0,Automatic,4x4,Left wheel,Orange,7,8
4137,45,0,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,100000 ,4.0,Variator,Front,Left wheel,White,8,11
4139,392,640,FORD,Escape,Jeep,Yes,Petrol,2.0,69813 ,4.0,Automatic,Front,Left wheel,Green,12,11
4141,12544,0,MITSUBISHI,Lancer,Sedan,No,Petrol,2.0,249600 ,4.0,Tiptronic,Front,Left wheel,Grey,6,17
4143,23204,0,MERCEDES-BENZ,Sprinter,Microbus,No,Diesel,2.2,296000 ,4.0,Manual,Rear,Left wheel,Black,2,17
4144,21796,764,CHEVROLET,Orlando,Jeep,Yes,Petrol,2.0,28633 ,4.0,Automatic,Front,Left wheel,Black,4,9
4145,20209,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,108900 ,4.0,Automatic,Front,Left wheel,Silver,4,12
4146,7056,1249,TOYOTA,RAV 4,Jeep,Yes,Petrol,2.5,47301 ,4.0,Automatic,Front,Left wheel,Red,12,7
4148,12544,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,732232 ,4.0,Automatic,Front,Left wheel,Orange,4,9
4149,5488,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,109798 ,4.0,Automatic,Front,Left wheel,White,12,10
4150,470,924,HONDA,Hr-v,Jeep,Yes,Petrol,1.8,0 ,4.0,Automatic,4x4,Left wheel,Blue,12,7
4151,15681,1347,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,92605 ,4.0,Automatic,Front,Left wheel,Silver,4,16
4152,17054,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,171340 ,4.0,Automatic,Front,Left wheel,Grey,4,13
4153,392,697,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,154045 ,4.0,Automatic,Front,Left wheel,White,12,9
4154,10349,702,KIA,RIO,Sedan,No,Petrol,1.4,147600 ,4.0,Manual,Front,Left wheel,Silver,4,15
4155,40224,770,HYUNDAI,Tucson,Jeep,Yes,Diesel,1.7,62232 ,4.0,Automatic,Front,Left wheel,Black,4,8
4156,23000,308,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,90000 ,4.0,Automatic,Front,Left wheel,White,12,10
4157,27911,0,TOYOTA,RAV 4,Jeep,Yes,Diesel,2.2,210000 ,4.0,Manual,4x4,Left wheel,Silver,8,16
4158,16308,0,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,140000 ,4.0,Automatic,Front,Left wheel,Grey,2,15
4161,10349,658,HONDA,Insight,Hatchback,No,Hybrid,1.3,278400 ,4.0,Variator,Front,Left wheel,Black,6,15
4162,20385,585,TOYOTA,Prius,Sedan,No,Hybrid,1.8,98000 ,4.0,Variator,Front,Left wheel,Grey,12,11
4164,26030,781,TOYOTA,Camry LE,Sedan,No,Hybrid,2.5,78400 ,4.0,Automatic,Front,Left wheel,Grey,12,12
4169,31797,639,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,148915 ,4.0,Automatic,Front,Left wheel,Grey,4,10
4170,10036,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,417661 ,4.0,Automatic,Front,Left wheel,Silver,4,10
4171,7188,1282,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,67558 ,4.0,Automatic,Front,Left wheel,Black,4,17
4173,14426,586,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,113600 ,4.0,Automatic,Front,Left wheel,White,6,12
4176,17346,753,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.4,130000 ,4.0,Automatic,Front,Left wheel,Grey,4,12
4177,80,0,FORD,Fusion,Sedan,No,Hybrid,2.0,40000 ,4.0,Automatic,Front,Left wheel,Black,10,7
4178,314,834,TOYOTA,Tacoma,Jeep,Yes,Petrol,2.7,158870 ,4.0,Automatic,Rear,Left wheel,White,12,11
4179,31988,0,BMW,530,Sedan,Yes,Petrol,3.0,81000 ,4.0,Tiptronic,Rear,Left wheel,Silver,12,13
4185,784,1024,FORD,Fusion,Sedan,Yes,Petrol,2.5,178330 ,4.0,Automatic,Front,Left wheel,Black,12,14
4187,5175,585,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,492642 ,4.0,Automatic,Front,Left wheel,Silver,12,11
4190,31361,0,LEXUS,CT 200h F SPORT,Hatchback,Yes,Hybrid,1.8,157000 ,4.0,Tiptronic,Front,Left wheel,Black,10,12
4192,25456,595,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,45650 ,4.0,Automatic,Front,Left wheel,Grey,4,9
4196,15847,1024,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,58788 ,4.0,Automatic,Front,Left wheel,Black,4,14
4197,24709,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,107374 ,4.0,Automatic,Front,Left wheel,Grey,4,14
4198,24267,642,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,132976 ,4.0,Automatic,Front,Left wheel,Silver,4,12
4199,3607,629,NISSAN,Juke,Jeep,Yes,Petrol,1.6,103358 ,4.0,Automatic,4x4,Left wheel,Blue,0,9
4203,32929,1249,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,32000 ,4.0,Tiptronic,Front,Left wheel,Black,10,7
4204,20005,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,193926 ,4.0,Automatic,Front,Left wheel,Black,4,13
4205,15053,503,TOYOTA,Prius C,Sedan,Yes,Hybrid,1.5,128000 ,4.0,Automatic,Front,Left wheel,Red,8,12
4207,7213,0,RENAULT,Laguna,Hatchback,Yes,Diesel,1.9,70000 ,4.0,Manual,Front,Left wheel,Silver,4,21
4209,16308,777,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,118582 ,4.0,Tiptronic,Front,Left wheel,White,12,10
4210,7840,0,HONDA,FIT,Hatchback,No,Petrol,1.3,175000 ,4.0,Variator,Front,Right-hand drive,Silver,0,20
4212,392,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,124184 ,4.0,Automatic,Front,Left wheel,Silver,12,11
4214,41811,639,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,97700 ,4.0,Automatic,Front,Left wheel,Brown,4,10
4215,11704,1047,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,114540 ,4.0,Automatic,Front,Left wheel,Silver,4,17
4216,28241,528,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,80856 ,4.0,Automatic,Front,Left wheel,Grey,4,10
4218,12544,0,HONDA,FIT,Hatchback,No,Petrol,1.3,0 ,4.0,Variator,Front,Right-hand drive,Black,4,14
4219,12388,586,HYUNDAI,Elantra Limited,Sedan,Yes,Petrol,1.8,87646 ,4.0,Automatic,Front,Left wheel,Silver,8,12
4220,470,1249,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,96093 ,4.0,Automatic,Front,Left wheel,Red,12,7
4222,26475,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,151186 ,4.0,Automatic,Front,Left wheel,Silver,4,13
4223,19309,911,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.2,185987 ,4.0,Automatic,Front,Left wheel,White,4,14
4225,20237,753,CHEVROLET,Malibu,Sedan,Yes,Petrol,2.4,146367 ,4.0,Automatic,Front,Left wheel,Grey,4,12
4226,8634,640,KIA,Optima,Sedan,Yes,Petrol,2.0,47232 ,4.0,Automatic,Front,Left wheel,Silver,4,11
4227,24462,1017,HYUNDAI,Elantra,Sedan,No,Petrol,2.0,60000 ,4.0,Tiptronic,Front,Left wheel,White,8,7
4228,941,584,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,101526 ,4.0,Automatic,Front,Left wheel,Silver,12,10
4229,13946,501,HONDA,FIT,Hatchback,Yes,Petrol,1.5,138000 ,4.0,Automatic,Front,Left wheel,Silver,4,10
4230,5018,645,TOYOTA,Prius,Jeep,Yes,Hybrid,1.8,489584 ,4.0,Automatic,Front,Left wheel,Grey,12,13
4231,10976,0,FORD,S-max,Universal,Yes,Diesel,2.0,216000 ,4.0,Manual,Front,Left wheel,Blue,8,17
4234,37633,0,TOYOTA,Camry SE,Sedan,Yes,Petrol,2.5,15000 ,4.0,Tiptronic,Front,Left wheel,Silver,12,8
4235,3920,779,FORD,Fusion,Sedan,Yes,Petrol,2.5,90672 ,4.0,Automatic,Front,Left wheel,White,12,11
4236,11604,475,CHEVROLET,Cruze,Sedan,No,Petrol,1.4,165000 ,4.0,Tiptronic,Front,Left wheel,Silver,10,12
4238,20005,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,132421 ,4.0,Automatic,Front,Left wheel,Silver,4,12
4239,2117,640,AUDI,A4,Sedan,Yes,Petrol,2.0,174941 ,4.0,Automatic,4x4,Left wheel,Black,12,11
4242,12544,645,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,152000 ,4.0,Automatic,Front,Left wheel,Silver,8,13
4243,18814,761,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,88265 ,4.0,Automatic,Front,Left wheel,White,10,14
4244,25716,777,TOYOTA,Camry,Sedan,No,Petrol,2.5,10400 ,4.0,Automatic,Front,Left wheel,Grey,8,10
4247,20005,707,SSANGYONG,Korando,Jeep,Yes,Diesel,2.0,199569 ,4.0,Automatic,Front,Left wheel,Grey,4,13
4248,862,761,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,421546 ,4.0,Automatic,Front,Left wheel,Silver,12,14
4251,18503,0,TOYOTA,Prius C,Hatchback,No,Hybrid,1.5,181000 ,4.0,Automatic,Front,Left wheel,White,3,11
4252,5175,790,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.6,149692 ,4.0,Automatic,Front,Left wheel,White,4,15
4253,392,738,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,77434 ,4.0,Automatic,Front,Left wheel,White,12,7
4254,8311,1282,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,63558 ,4.0,Automatic,Front,Left wheel,White,4,17
4257,12544,574,HONDA,Insight,Sedan,No,Hybrid,1.3,173000 ,4.0,Automatic,Front,Left wheel,Black,8,14
4260,15524,919,HYUNDAI,Grandeur,Sedan,Yes,Petrol,3.0,137235 ,4.0,Automatic,Front,Left wheel,Silver,4,12
4261,22894,0,KIA,Optima,Sedan,No,Hybrid,2.4,81000 ,4.0,Tiptronic,Front,Left wheel,Black,8,10
4262,392,761,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,267165 ,4.0,Automatic,Front,Left wheel,White,12,14
4263,627,640,SUZUKI,SX4,Sedan,Yes,Petrol,2.0,153590 ,4.0,Automatic,Front,Left wheel,Blue,12,11
4264,26343,1091,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,157802 ,4.0,Automatic,Front,Left wheel,Black,10,8
4266,18817,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058 ,4.0,Automatic,Front,Left wheel,White,12,6
4267,27284,779,TOYOTA,Avalon LIMITED,Sedan,Yes,Hybrid,2.5,109000 ,4.0,Automatic,Front,Left wheel,Silver,10,11
4268,25889,528,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,102000 ,4.0,Automatic,Front,Left wheel,White,4,10
4269,17227,730,HYUNDAI,Elantra,Sedan,Yes,LPG,1.6,49068 ,4.0,Automatic,Front,Left wheel,White,4,8
4270,22580,777,TOYOTA,Camry LE,Sedan,Yes,Petrol,2.5,133000 ,4.0,Tiptronic,Front,Left wheel,Black,10,10
4271,25810,642,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,179421 ,4.0,Automatic,Front,Left wheel,White,4,12
4272,18817,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058 ,4.0,Automatic,Front,Left wheel,White,12,6
4274,3136,1249,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,127549 ,4.0,Automatic,Front,Left wheel,Silver,12,7
4277,39458,831,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,72924 ,4.0,Automatic,Front,Left wheel,Blue,4,7
4279,627,761,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,256966 ,4.0,Automatic,Front,Left wheel,Blue,12,14
4280,18817,781,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,130000 ,4.0,Automatic,Front,Left wheel,Blue,12,12
4282,1254,891,LEXUS,RC F,Coupe,Yes,Petrol,2.0,49222 ,4.0,Automatic,Rear,Left wheel,Black,12,8
4283,24625,640,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,167333 ,4.0,Automatic,Front,Left wheel,Black,4,11
4285,157,738,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,78837 ,4.0,Automatic,Front,Left wheel,Silver,12,7
4286,39603,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,120000 ,4.0,Automatic,Front,Left wheel,Silver,4,8
4287,20385,0,FORD,Escape,Jeep,Yes,Hybrid,2.5,272000 ,4.0,Automatic,Front,Left wheel,White,6,15
4288,11917,0,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,222000 ,4.0,Automatic,Front,Left wheel,Blue,10,18
4292,32744,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,107483 ,4.0,Automatic,Front,Left wheel,Silver,4,10
4293,6595,790,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.6,38413 ,4.0,Automatic,Front,Left wheel,Black,4,15
4295,15866,687,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,121263 ,4.0,Automatic,Front,Left wheel,Black,4,14
4302,14113,0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,115000 ,4.0,Automatic,Front,Right-hand drive,White,4,12
4303,14897,530,FORD,Fusion,Sedan,Yes,Petrol,1.6,188800 ,4.0,Automatic,Front,Left wheel,Carnelian red,10,11
4305,15257,707,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,163374 ,4.0,Automatic,Front,Left wheel,Grey,4,13
4306,204,382,HYUNDAI,Sonata hybrid,Sedan,No,Hybrid,2.4,107300 ,4.0,Tiptronic,Front,Left wheel,Silver,10,10
4307,13485,1024,TOYOTA,Camry,Sedan,No,Petrol,2.5,110000 ,4.0,Tiptronic,Front,Left wheel,White,10,14
4310,14113,0,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.8,112000 ,4.0,Manual,Front,Left wheel,Black,6,10
4311,25089,639,BMW,320 2.0,Sedan,Yes,Petrol,2.0,97970 ,4.0,Tiptronic,Rear,Left wheel,Black,12,10
4312,29793,0,BMW,328 DIZEL,Sedan,Yes,Diesel,2.0,160000 ,4.0,Tiptronic,Rear,Left wheel,Grey,8,11
4313,40456,765,MERCEDES-BENZ,CLA 250,Sedan,Yes,Petrol,2.0,59000 ,4.0,Tiptronic,Front,Left wheel,White,12,9
4314,22580,830,CHEVROLET,Equinox LT,Jeep,No,Petrol,1.5,5124 ,4.0,Automatic,4x4,Left wheel,Black,10,5
4315,12777,640,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,162558 ,4.0,Automatic,Front,Left wheel,Black,4,11
4316,21326,1325,NISSAN,Altima,Sedan,Yes,Petrol,2.5,30296 ,4.0,Automatic,Front,Left wheel,Grey,12,5
4318,14740,779,TOYOTA,Camry,Sedan,No,Hybrid,2.5,0 ,4.0,Tiptronic,Front,Left wheel,Black,6,11
4319,17876,382,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,11000 ,4.0,Tiptronic,Front,Left wheel,White,12,10
4320,1725,584,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,107155 ,4.0,Automatic,Front,Left wheel,Black,12,10
4321,13172,781,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,2.5,83658 ,4.0,Tiptronic,Front,Left wheel,Black,12,12
4322,15718,836,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,149608 ,4.0,Automatic,Front,Left wheel,Silver,4,14
4323,32929,1327,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,19000 ,4.0,Tiptronic,Front,Left wheel,Black,11,6
4324,21987,639,CHEVROLET,Malibu,Sedan,Yes,Diesel,2.0,133923 ,4.0,Automatic,Front,Left wheel,Grey,4,10
4325,41720,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,114066 ,4.0,Automatic,Front,Left wheel,White,4,8
4326,24148,831,SSANGYONG,Actyon,Jeep,Yes,Diesel,1.6,27067 ,4.0,Automatic,Front,Left wheel,White,4,7
4329,392,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,232032 ,4.0,Automatic,Front,Left wheel,Silver,12,11
4330,12544,781,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,2.5,120000 ,4.0,Manual,Front,Left wheel,Grey,8,12
4333,18817,585,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,121000 ,4.0,Tiptronic,Front,Left wheel,Grey,8,11
4334,20000,1024,VOLKSWAGEN,Crafter,Microbus,No,Diesel,2.5,215000 ,4.0,Manual,Rear,Left wheel,White,0,14
4335,7700,944,OPEL,Astra,Universal,No,Diesel,1.7,238075 ,4.0,Manual,Front,Left wheel,Silver,8,16
4336,17249,586,HYUNDAI,Elantra limited,Sedan,Yes,Petrol,1.8,87500 ,4.0,Tiptronic,Front,Left wheel,Grey,10,12
4337,22580,749,KIA,Optima,Sedan,Yes,Petrol,2.4,47000 ,4.0,Tiptronic,Front,Left wheel,Black,6,10
4339,16621,0,SUBARU,Impreza G4,Sedan,Yes,Petrol,2.0,0 ,4.0,Variator,4x4,Right-hand drive,Black,2,12
4340,10036,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,268046 ,4.0,Automatic,Front,Left wheel,Silver,4,10
4341,18189,586,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,186000 ,4.0,Automatic,Front,Left wheel,Silver,10,12
4342,706,645,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,122302 ,4.0,Automatic,Front,Left wheel,Black,12,13
4343,10349,0,HONDA,FIT fit,Hatchback,No,Petrol,1.3,180000 ,4.0,Variator,4x4,Right-hand drive,Purple,2,17
4345,29087,831,JEEP,Compass,Jeep,Yes,Petrol,2.4,63570 ,4.0,Automatic,Front,Left wheel,White,4,13
4346,282,753,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,226814 ,4.0,Automatic,Front,Left wheel,Black,0,12
4348,784,518,TOYOTA,RAV 4,Jeep,No,Hybrid,2.5,136518 ,4.0,Automatic,4x4,Left wheel,Grey,0,8
4350,27174,663,HYUNDAI,Tucson,Jeep,Yes,Diesel,1.7,279276 ,4.0,Automatic,Front,Left wheel,Blue,4,9
4352,7527,0,MAZDA,Demio,Hatchback,No,Petrol,1.5,165000 ,4.0,Manual,Front,Right-hand drive,Black,0,17
4353,20883,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,171157 ,4.0,Automatic,Front,Left wheel,White,4,14
4354,549,1325,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,35541 ,4.0,Automatic,Front,Left wheel,Black,12,5
4355,25299,730,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,79845 ,4.0,Automatic,Front,Left wheel,White,4,8
4356,23521,0,KIA,Sorento,Jeep,Yes,Diesel,2.0,178000 ,4.0,Automatic,Front,Left wheel,Silver,4,14
4357,4300,0,MITSUBISHI,Colt,Hatchback,No,Petrol,1.3,112000 ,4.0,Variator,Front,Right-hand drive,White,2,18
4359,549,586,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,197589 ,4.0,Automatic,Front,Left wheel,Black,12,12
4360,251,607,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,39552 ,4.0,Automatic,Front,Left wheel,Black,12,5
4362,1176,751,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,216208 ,4.0,Automatic,Front,Left wheel,Blue,0,11
4363,18826,836,SSANGYONG,Actyon,Jeep,Yes,Diesel,2.0,118133 ,4.0,Automatic,Front,Left wheel,Silver,4,14
4364,23521,0,CHEVROLET,Volt,Hatchback,Yes,Plug-in Hybrid,1.4,237000 ,4.0,Automatic,Front,Left wheel,Grey,8,12
4365,7370,364,CHEVROLET,Spark,Sedan,Yes,Petrol,1.0,39876 ,4.0,Automatic,Front,Left wheel,White,4,12
4366,30,0,HONDA,FIT,Hatchback,No,Petrol,1.3,0 ,4.0,Automatic,Front,Right-hand drive,Silver,4,19
4370,13485,697,VOLKSWAGEN,Passat SE,Sedan,Yes,Petrol,1.8,91103 ,4.0,Automatic,Front,Left wheel,Black,8,9
4373,13485,640,FORD,Focus,Hatchback,No,Petrol,2.0,148000 ,4.0,Automatic,Front,Left wheel,Red,5,11
4374,8311,642,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,36545 ,4.0,Automatic,Front,Left wheel,White,4,12
4376,8467,1345,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.5,64459 ,4.0,Automatic,Front,Left wheel,Silver,4,16
4377,18817,584,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,53000 ,4.0,Tiptronic,Front,Left wheel,Silver,8,10
4378,18817,751,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,0 ,4.0,Automatic,Rear,Left wheel,Silver,8,11
4379,470,1327,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,44845 ,4.0,Automatic,Front,Left wheel,Brown,12,6
4380,35124,0,HYUNDAI,H1,Microbus,Yes,Diesel,2.5,63500 ,4.0,Automatic,Rear,Left wheel,Silver,5,14
4383,862,934,FORD,Fusion,Sedan,Yes,Petrol,2.5,182302 ,4.0,Automatic,Front,Left wheel,Black,12,9
4384,10349,502,TOYOTA,Prius C,Hatchback,No,Hybrid,1.5,145000 ,4.0,Variator,Front,Left wheel,Sky blue,8,11
4386,11917,0,SCION,iA isti,Hatchback,No,Petrol,1.5,118000 ,4.0,Automatic,Front,Left wheel,Silver,2,18
4387,15367,1024,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,49140 ,4.0,Automatic,Front,Left wheel,Black,4,14
4388,9408,585,HYUNDAI,Elantra,Jeep,Yes,Petrol,1.8,207606 ,4.0,Automatic,Front,Left wheel,Grey,12,11
4389,11290,585,HYUNDAI,Elantra GLS / LIMITED,Sedan,No,Petrol,1.8,69000 ,4.0,Tiptronic,Front,Left wheel,Blue,12,11
4390,8467,893,MAZDA,Mazda 3,Hatchback,No,Diesel,1.6,185000 ,4.0,Manual,Front,Left wheel,Blue,6,16
4394,9252,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,603446 ,4.0,Automatic,Front,Left wheel,Orange,4,9
4395,19121,530,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,163000 ,4.0,Automatic,Front,Left wheel,White,4,11
4397,31361,779,TOYOTA,Avalon limited,Sedan,Yes,Hybrid,2.5,132000 ,4.0,Automatic,Front,Left wheel,Carnelian red,10,11
4400,16571,687,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,51994 ,4.0,Automatic,Front,Left wheel,Silver,4,14
4401,16308,642,VOLKSWAGEN,Passat,Sedan,Yes,Diesel,2.0,134000 ,4.0,Tiptronic,Rear,Left wheel,White,12,12
4402,13485,0,MERCEDES-BENZ,B 170,Hatchback,Yes,Petrol,1.7,160000 ,4.0,Automatic,Front,Left wheel,White,12,17
